City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,xmf,tr,nap,li,lv,lt,jam,tk,th,tg,te,sgs,pcd,ta,yi,lrc,ceb,yo,kk-kz,de,da,za,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,kaa,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,ms,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,krc,nds,yue,tt,udm,co,nso,bjn,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,mt,stq,uk,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,km,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,fr,ku,lad,fy,frp,fa,mai,fi,mzn,gom,ab,ky,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,su,or,sk,si,sh,so,mrj,sl,sc,sa,rgn,sw,se,sd
Istanbul,OSM,jothi,Tourism,Istanbul Archaeological Museum,伊斯坦布尔考古博物馆,https://batpad.github.io/quick-geocode/?name=Istanbul%20Archaeological%20Museum&city=Istanbul,"https://www.google.com/maps/search/Istanbul+Archaeological+Museum,+Istanbul/",way,335374188,Q636978,#N/A,google,,,,,Q636978,tr:İstanbul Arkeoloji Müzeleri,,,,,,,,,,,,,,,,,,,,,,,,,,İstanbul Arkeoloji Müzesi,,,,Stambulo archeologijos muziejus,,,,,,,,,,,,,,Archäologisches Museum Istanbul,,,,,,,,,,,,,,,,,,,Αρχαιολογικά μουσεία Κωνσταντινούπολης,,Istanbul Archaeology Museums,伊斯坦布尔考古博物馆,,,,,,,,,,,Museo arqueológico de Estambul,,,Археологический музей Стамбула,,,,,,,,,,Археалагічны музей Стамбула,,,,,,,,,,,,イスタンブル考古学博物館,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museus Arqueológicos de Istambul,,,,,,,,,Muzeum Archeologiczne w Stambule,,Ստամբուլի հնագիտական թանգարան,,,,,,,,,,,,,המוזיאונים לארכאולוגיה של איסטנבול,,,,,,,,,Археолошки музеј во Истанбул,,,,,Археологічний музей Стамбула,,,,,,,,,,,,Musei archeologici di Istanbul,,,متحف إسطنبول الأثري,,,,,,,,Museum Arkeologi Istanbul,,,Archeologisch museum van Istanboel,,,,,,,,,,,,,,,,,,musée archéologique d'Istanbul,,,,,موزه باستان‌شناسی استانبول,,,,,,,,,stambulis muzeumebi,,,,,,,이스탄불 고고학 박물관,,,,,,,,,,,,,,,
Istanbul,OSM,ramya,Tourism,Nuruosmaniye Mosque,奴鲁奥斯玛尼耶清真寺,https://batpad.github.io/quick-geocode/?name=Nuruosmaniye%20Mosque&city=Istanbul,"https://www.google.com/maps/search/Nuruosmaniye+Mosque,+Istanbul/",way,111002484,,#N/A,quick-geocode,,,,,Q1430090,en:Nuruosmaniye Mosque,,,,,,,,,,,,奴魯奧斯瑪尼耶清真寺,,Mesquita de Nuruosmaniye,,,,,,,,,,,,Nuruosmaniye Camii,,,,,,,,,,,,,,,,,,Nuruosmaniye-Moschee,,,,,,,,,,,奴鲁奥斯玛尼耶清真寺,,,Nuruosmaniye-Moschee,奴魯奧斯瑪尼耶清真寺,,,,Τέμενος Νουρουοσμανιγιέ,,Nuruosmaniye Mosque,奴魯奧斯瑪尼耶清真寺,,,,,,,,,,,,,Nuruosmaniye Mosque,Нуросмание,Umusigiti wa Nuruosmaniye,,,,,,,,,,,Masjid Nuruosmaniye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesquita de Nuruosmaniye,,,,,,,,,Meczet Nuruosmaniye,,,,,,,,,,,,,نورعثمانیہ مسیت,,,,,,,,,,,Нуруосманлиска џамија,نورعثمانیہ مسجد,,,,,,,,,,,,,,,,Moschea Nuruosmaniye,,,جامع نور عثمانية,,,,,,Nuruosmaniyə məscidi,,Masjid Nuruosmaniye,,,Nuruosmaniye Mosque,,,,,,,,,,,,,,,,,,mosquée Nuruosmaniye,,,,,,,,,,,,Nuruosmaniye Mosque,,,,,,,,,누루오스마니예 모스크,,,,,,,,Нуруосмание мечеть,,,,,,,
Istanbul,OSM,arun,Tourism,Sadberk Hanim Museum,萨德柏克女士博物馆,https://batpad.github.io/quick-geocode/?name=Sadberk%20Hanim%20Museum&city=Istanbul,"https://www.google.com/maps/search/Sadberk+Hanim+Museum,+Istanbul/",node,2201659666,Q3300324,#N/A,google,,,,,Q3300324,,,,,,,,,,,,,,,,,,,,,,,,,,,Sadberk Hanım Müzesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sadberk Hanım博物館,,,,,,Sadberk Hanım Museum,,,,,,,,,,,,,,,,,,,Sadberk Hanım博物馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museu Sadberk Hanım,,,,,,,,,,,,,,,,,Sadberk Hanım Múzeum,,,,,,,,,,,,,,,,Музеј Садберк Ханим,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul,OSM,abhishek,Tourism,SantralIstanbul Art Museum,SantralIstanbul艺术博物馆,https://batpad.github.io/quick-geocode/?name=SantralIstanbul%20Art%20Museum&city=Istanbul,"https://www.google.com/maps/search/SantralIstanbul+Art+Museum,+Istanbul/",way,218366324,"https://www.google.co.in/maps/place/santralistanbul/@41.0666336,28.9461981,21z/data=!4m12!1m6!3m5!1s0x14cab0ce1438ba4f:0x801483330834bc85!2ssantralistanbul!8m2!3d41.0667032!4d28.9463049!3m4!1s0x14cab0ce1438ba4f:0x801483330834bc85!8m2!3d41.0667032!4d28.9463049",http://www.openstreetmap.org/?mlat=41.0667032&mlon=28.9463049!3m4!1s0x14cab0ce1438ba4f:0x801483330834bc85!8m2!/?mlat=41.0667032&mlon=28.9463049!3m4!1s0x14cab0ce1438ba4f:0x801483330834bc85!8m2!/?mlat=41.0667032&mlon=28.9463049#map=18/41.0666336/28.9461981&layers=D,google,,,,,Q2797197,,,,,,,,,,,,,,,,,,,,,,,,,,,Santralistanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SantralIstanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,サントラル・イスタンブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santralistanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Музеј Сантрал Истанбул,,,,,,,,,,,,,,,,,,,,,,,,,,,,SantralIstanbul,,,Santralİstanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,სანტრალისტანბული,,,,,,,,,,,,,,,,,,,,,,
Istanbul,OSM,arun,Tourism,Sokollu Mehmet Pa?a Mosque,穆罕默德·帕萨清真寺,https://batpad.github.io/quick-geocode/?name=Sokollu%20Mehmet%20Pa?a%20Mosque&city=Istanbul,"https://www.google.com/maps/search/Sokollu+Mehmet+Pa?a+Mosque,+Istanbul/",relation,4567928,,#N/A,quick-geocode,,,Sokullu Mehmed Pasa Mosque,Was matched via geonames location,Q1572472,,,,,,,,,,,,,索科盧穆罕默德帕夏清真寺,,,,,,,,,,,,,,Sokollu Mehmed Paşa Külliyesi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,索科卢穆罕默德帕夏清真寺,,,,索科盧穆罕默德帕夏清真寺,,,,Τέμενος Σοκολού Μεχμέτ Πασά,,Sokollu Mehmet Pasha Mosque,索科卢穆罕默德帕夏清真寺,,,,,,,,,,,Mezquita de Sokollu Mehmet Pasha,,,Мечеть Соколлу Мехмед-паши,Umusigiti wa Sokollu Mehmet Pasha,,,,,,,,,,,,,,,,,,,,,ソコッル・メフメト・パシャ・ジャーミイ,,,,,,,,,,,,,,,,,Mesquita Sokollu Mehmet Pasha,,,,,,,,,,,Mesquita de Sokollu Mehmet Paşa,,,,,,,,,,,,,,,,,,,,,,سوکولو محمد پاشا مسیت,,,,,,,,,,,Џамија Мехмед Паша Соколовиќ,,,,,,,,,,,,,,,,,Moschea Sokollu Mehmet Pascià,,,جامع سوكولو محمد باشا,,,,,,Sokollu Mehmed Paşa Külliyəsi,,,,,Sokollu Pasamoskee,,,,,,,,,,,,,,,,,,mosquée Sokollu Mehmet Pasha,,,,,,,,,,,,,,,,Sokollu-Mehmet-Pascha-Moschee z Kadırga,,,Џамија Мехмед-паше Соколовића,,소콜루 메흐메트 파샤 모스크,,,,,,,,Соколлу Мехмет Паша мечеть,,,,,,,
Istanbul,OSM,ramya,Tourism,Sultan Ahmed Mosque (Blue Mosque),苏丹艾哈迈德清真寺,https://batpad.github.io/quick-geocode/?name=Sultan%20Ahmed%20Mosque%20(Blue%20Mosque)&city=Istanbul,"https://www.google.com/maps/search/Sultan+Ahmed+Mosque+(Blue+Mosque),+Istanbul/",way,398128605,,#N/A,osm-nominatim,,,,,Q170495,,,Topkapı Palace,,,,,,,,,,托卡比皇宮,,,,,Palacio de Topkapi,,,,,Topkapı-Palatium,,,,Topkapı Sarayı,,,Topkapi pils,,,Topkapy köşgi,พระราชวังโทพคาปึ,,,,,,,,,,,Topkapı-Palast,Topkapi-paladset,,,,,,,,,,托普卡帕宫,,,,托卡比皇宮,,,,Τοπ Καπί,Palaco de Topkapi,Topkapı Palace,托卡比皇宮,,,الباب العالى,,,,,Topkapı jauregia,,,Palacio de Topkapi,,,Топкапы,,,,托普卡帕宫,,Palatul Topkapî,,টপকাপা প্রাসাদ,,Тапкапы,Топкапъ сарай,Istana Topkapı,,,托普卡帕宫,,Istana Topkapı,,,,Topkapi saraj,トプカプ宮殿,,,,,,,,,,,,,,,,,Palau de Topkapi,,,,,,Palác Topkapi,,,,,Palácio de Topkapı,托卡比皇宮,,,,,,,Palasyo Topkapı,Topkapı,,Թոփկափի,,Topkapi Saraj,,,,Topkapı palota,,,,,توپ کاپی,,ארמון טופקאפי,,,,,,ടോപ്കാപി കൊട്ടാരം,,,Топкапи Сарај,توپ قاپی محل,,,,Топкапи,,,,,,,,Topkapi-paleis,Cung điện Topkapı,,,Palazzo Topkapı,,,الباب العالي,,,,,,Topqapı sarayı,,Istana Topkapı,,,Topkapıpaleis,,,,Topkapipalasset,,,,,,,,,,,,,,palais de Topkapı,,,,,سرای توپقاپی,,Topkapın palatsi,,,,,,,თოფქაფის სასახლე,,Dr Topkapi-Balast,کۆشکی تۆپقاپی,Топқапы,Палата Топкапи,,톱카프 궁전,Topkapipalatset,,,Topkapı Sarayı,,Topkapi Saraj,,,Topkapi Saraj,,,,,,
Istanbul,OSM,abhishek,Tourism,Tomb of Sultan Ahmet I,苏丹艾哈迈德墓一号,https://batpad.github.io/quick-geocode/?name=Tomb%20of%20Sultan%20Ahmet%20I&city=Istanbul,"https://www.google.com/maps/search/Tomb+of+Sultan+Ahmet+I,+Istanbul/",node,4146432391,,#N/A,osm-nominatim,,,Sultanahmet Camii,,Q80541,en:Sultan Ahmed Mosque,,Sultan Ahmed Mosque,,,,,,,,,,,,,,,Mesquita Azul,,,,,Meschita Sultani Achmetis,,,,Sultan Ahmet Camii,,,Sultāna Ahmeda mošeja,Sultono Ahmedo mečetė,,,มัสยิดสุลต่านอาเหม็ด,,,,,,,,,,,Sultan-Ahmed-Moschee,Den Blå Moske,,,,,,,,,,,,,,,,,,Μπλε Τζαμί,Blua moskeo,Sultan Ahmed Mosque,蘇丹艾哈邁德清真寺,,,,,,,,Meskita Urdina,,,Mezquita Azul,Солтанәхмәт мәсете,,Голубая мечеть,Umusigiti wa Sultanahmet,,,,,Moscheea Albastră din Istanbul,,সুলতান আহমেদ মসজিদ,,Блакітная мячэць,Султан Ахмед джамия,Masjid Sultan Ahmed,,,,,Masjid Biru,,,,Džamija sultana Ahmeda,スルタンアフメト・モスク,,Meuseujid Sultan Ahmad,,,,,,,,,,Солтан Әхмәт мәчете,Султанахмет мечеть,,,,Mesquita blava,,,Mosg Glas,,,Mešita Sultan Ahmed,,,د سلطان احمد جومات,,Mesquita Azul,,,,,,,,Moske Sultan Ahmed,Błękitny Meczet,,Կապույտ մզկիթ,,Ahmedija,,,,Ahmed szultán mecsetje,,सुल्तान अहमद मस्जिद,,,سلطان احمد مسجد,,המסגד הכחול,,,,,Ahmadiya masjidi,സുൽത്താൻ അഹ്മദ് മസ്ജിദ്,,,Султан Ахмедова џамија,سلطان احمد مسجد,,,,Блакитна мечеть,सुल्तान अहमद मशीद,سۇلتان ئاخمەت جامىي,,,,,,Sultan Ahmet-moskee,Nhà thờ Hồi giáo Sultan Ahmed,,,Moschea Blu,,,جامع السلطان أحمد,,,,,,Sultan Əhməd camisi,,Masjid Sultan Ahmed,,,Sultan Ahmetmoskee,,,,Sultan Ahmed-moskeen,,,सुल्तान अहमद मस्जिद,,,,,,,,,,,mosquée bleue,,,,,مسجد سلطان احمد,,Sulttaani Ahmedin moskeija,,,,,,,სულთან აჰმედის მეჩეთი,,,مزگەوتی سوڵتان ئەحمەد,Сұлтанахмет мешіті,Sultan Ahmedova džamija,Xhamia e Sulltan Ahmetit,술탄 아흐메트 모스크,Blå moskén,,,Modrá mešita (Istanbul),,Džamija sultana Ahmeta,Masaajid Sultan Axmed,Симсӹ мечеть,Modra mošeja,,,,Msikiti wa Sultan Ahmed,,
Istanbul,OSM,ramya,Tourism,Topkapi Palace Museum,托普卡帕宫,https://batpad.github.io/quick-geocode/?name=Topkapi%20Palace%20Museum&city=Istanbul,"https://www.google.com/maps/search/Topkapi+Palace+Museum,+Istanbul/",way,398128605,,#N/A,google,,,,,Q170495,,,Topkapı Palace,,,,,,,,,,托卡比皇宮,,,,,Palacio de Topkapi,,,,,Topkapı-Palatium,,,,Topkapı Sarayı,,,Topkapi pils,,,Topkapy köşgi,พระราชวังโทพคาปึ,,,,,,,,,,,Topkapı-Palast,Topkapi-paladset,,,,,,,,,,托普卡帕宫,,,,托卡比皇宮,,,,Τοπ Καπί,Palaco de Topkapi,Topkapı Palace,托卡比皇宮,,,الباب العالى,,,,,Topkapı jauregia,,,Palacio de Topkapi,,,Топкапы,,,,托普卡帕宫,,Palatul Topkapî,,টপকাপা প্রাসাদ,,Тапкапы,Топкапъ сарай,Istana Topkapı,,,托普卡帕宫,,Istana Topkapı,,,,Topkapi saraj,トプカプ宮殿,,,,,,,,,,,,,,,,,Palau de Topkapi,,,,,,Palác Topkapi,,,,,Palácio de Topkapı,托卡比皇宮,,,,,,,Palasyo Topkapı,Topkapı,,Թոփկափի,,Topkapi Saraj,,,,Topkapı palota,,,,,توپ کاپی,,ארמון טופקאפי,,,,,,ടോപ്കാപി കൊട്ടാരം,,,Топкапи Сарај,توپ قاپی محل,,,,Топкапи,,,,,,,,Topkapi-paleis,Cung điện Topkapı,,,Palazzo Topkapı,,,الباب العالي,,,,,,Topqapı sarayı,,Istana Topkapı,,,Topkapıpaleis,,,,Topkapipalasset,,,,,,,,,,,,,,palais de Topkapı,,,,,سرای توپقاپی,,Topkapın palatsi,,,,,,,თოფქაფის სასახლე,,Dr Topkapi-Balast,کۆشکی تۆپقاپی,Топқапы,Палата Топкапи,,톱카프 궁전,Topkapipalatset,,,Topkapı Sarayı,,Topkapi Saraj,,,Topkapi Saraj,,,,,,
Jeju,OSM,ramya,Tourism,Bijarim Forest,榧子林,https://batpad.github.io/quick-geocode/?name=Bijarim%20Forest&city=Jeju,"https://www.google.com/maps/search/Bijarim+Forest,+Jeju/",way,372522610,"https://www.google.co.in/maps/place/Bijarim+Forest/@33.4901844,126.805138,16.68z/data=!4m5!3m4!1s0x350d1734b13036b3:0x707e0a202b9d0c18!8m2!3d33.4902!4d126.8079",http://www.openstreetmap.org/?mlat=33.4902&mlon=126.8079#map=18/33.4901844/126.805138&layers=D,google,,,,,Q16094611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제주 평대리 비자나무 숲,,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Cheju Island Chocolate Museum,巧克力博物馆,https://batpad.github.io/quick-geocode/?name=Cheju%20Island%20Chocolate%20Museum&city=Jeju,"https://www.google.com/maps/search/Cheju+Island+Chocolate+Museum,+Jeju/",node,368733805,,#N/A,quick-geocode,,,,,Q12619410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Музей шоколада,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,초콜릿 박물관 (대한민국),,,,,,,,,,,,,,,
Jeju,OSM,samely,Tourism,Gwandeokjeong,济州观德亭,https://batpad.github.io/quick-geocode/?name=Gwandeokjeong&city=Jeju,"https://www.google.com/maps/search/Gwandeokjeong,+Jeju/",way,370213057,"https://www.google.com/maps/place/%EA%B4%80%EB%8D%95%EC%A0%95/@33.5133207,126.5213841,21z/data=!4m5!3m4!1s0x350ce4aa5d3185e7:0xe6e34229a601d94!8m2!3d33.513345!4d126.521532",http://www.openstreetmap.org/?mlat=33.513345&mlon=126.521532#map=18/33.5133207/126.5213841&layers=D,google,,,,"https://wego.here.com/directions/mix//Gwandeokjeong,-Jeju-Island,-19-gwandeong-ro,-jeju-si,-Ciudad-de-Jeju:e-eyJuYW1lIjoiR3dhbmRlb2tqZW9uZywgSmVqdSBJc2xhbmQiLCJhZGRyZXNzIjoiMTkgZ3dhbmRlb25nLXJvLCBqZWp1LXNpLCBDaXVkYWQgZGUgSmVqdSIsImxhdGl0dWRlIjozMy41MTMyMzIyNywibG9uZ2l0dWRlIjoxMjYuNTIyNTMzMTYsInByb3ZpZGVyTmFtZSI6ImZhY2Vib29rIiwicHJvdmlkZXJJZCI6MTQxNTAxNDQ5ODc1OTM1Mn0=?map=33.505,126.52892,14,normal&fb_locale=es_ES",Q12584901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,관덕정,,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Haenyeo Museum,济州海女博物馆,https://batpad.github.io/quick-geocode/?name=Haenyeo%20Museum&city=Jeju,"https://www.google.com/maps/search/Haenyeo+Museum,+Jeju/",node,368735470,,#N/A,quick-geocode,,,,,Q18016054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해녀박물관,,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Halla University,汉拿大学,https://batpad.github.io/quick-geocode/?name=Halla%20University&city=Jeju,"https://www.google.com/maps/search/Halla+University,+Jeju/",way,370302697,,#N/A,quick-geocode,,,,,Q5642741,ko:한라대학교,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halla University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한라대학교,,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Hallasan National Park,汉拿山国立公园,https://batpad.github.io/quick-geocode/?name=Hallasan%20National%20Park&city=Jeju,"https://www.google.com/maps/search/Hallasan+National+Park,+Jeju/",node,368631100,,#N/A,quick-geocode,,,,,Q5642786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hallasan National Park,漢拏山國立公園,,,,,,,,,,,Parque nacional Hallasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한라산국립공원,,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Jeju Aerospace Museum,济州航空宇宙博物馆,https://batpad.github.io/quick-geocode/?name=Jeju%20Aerospace%20Museum&city=Jeju,"https://www.google.com/maps/search/Jeju+Aerospace+Museum,+Jeju/",way,352594467,"https://www.google.co.in/maps/place/Jeju+Air+and+Space+Museum/@33.304846,126.297526,17z/data=!3m1!4b1!4m5!3m4!1s0x350c43451c653ef7:0x15795b424c2854bb!8m2!3d33.304846!4d126.29972",http://www.openstreetmap.org/?mlat=33.304846&mlon=126.29972#map=18/33.304846/126.297526&layers=D,google,,,,,Q752669,,,,,,,,,,,,,美國航空航天博物館,,,,,,,,,,,,,,Ulusal Hava ve Uzay Müzesi,,,,,,,พิพิธภัณฑ์ยานบินและยานอวกาศแห่งชาติ,,,,,,,,,,,National Air and Space Museum,,,,,,,,,,,美国航空航天博物馆,,,,美國航空航天博物館,,,,,,National Air and Space Museum,美国航空航天博物馆,,,,,,,,,,,Museo Nacional del Aire y el Espacio de Estados Unidos,,,Национальный музей авиации и космонавтики,,,,国立航空宇宙博物馆,,,,,,,,,,,,,,,,,,国立航空宇宙博物館,,,,,,,,,,,,,,,,,,,,,,,National Air and Space Museum,,,,,Museu do Ar e Espaço,美國航空太空博物館,,,,,,,,National Air and Space Museum,,,,,,,,,,,,,نیشنل ائیر اینڈ سپیس میوزیم,,מוזיאון האוויר והחלל הלאומי,,,,,,,,,,,,,,Національний музей авіації і космонавтики,,,,,,,,,,,,National Air and Space Museum,,,متحف الطيران والفضاء الوطني,,,,,,,,Museum Dirgantara Nasional Amerika Serikat,,,National Air and Space Museum,,,,National Air and Space Museum,,,,,,,,,,,,,,National Air and Space Museum,,,,,موزه ملی هوافضای اسمیتسونین,,National Air and Space Museum,,,,,,,,,,,,Национални музеј авијације и астронаутике,,국립항공우주박물관,National Air and Space Museum,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Jeju Folklore and Natural History Museum,济州民俗自然史博物馆,https://batpad.github.io/quick-geocode/?name=Jeju%20Folklore%20and%20Natural%20History%20Museum&city=Jeju,"https://www.google.com/maps/search/Jeju+Folklore+and+Natural+History+Museum,+Jeju/",way,372358112,"https://www.google.co.in/maps/place/Jeju+Folklore+and+Natural+History+Museum/@33.5064851,126.529421,17z/data=!3m1!4b1!4m5!3m4!1s0x350cfcad2f787841:0xbf2e2d39c2801623!8m2!3d33.5064851!4d126.531615",http://www.openstreetmap.org/?mlat=33.5064851&mlon=126.531615#map=18/33.5064851/126.529421&layers=D,,,,,,Q18016012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제주특별자치도 민속자연사박물관,,,,,,,,,,,,,,,
Jeju,OSM,ramya,Tourism,Jeju international peace center,济州国际和平中心,https://batpad.github.io/quick-geocode/?name=Jeju%20international%20peace%20center&city=Jeju,"https://www.google.com/maps/search/Jeju+international+peace+center,+Jeju/",way,242553870,,#N/A,quick-geocode,,,,,Q15972756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeju Peace Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,済州平和研究院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeju Peace Institute,,,,,,,,,,,,,,,,,,,,,제주평화연구원,,,,,,,,,,,,,,,
Jeju,OSM,Abhishek,Tourism,Jeju National University,济州大学,https://batpad.github.io/quick-geocode/?name=Jeju%20National%20University&city=Jeju,"https://www.google.com/maps/search/Jeju+National+University,+Jeju/",way,369809434,,#N/A,quick-geocode,,,,,Q487855,ko:제주대학교,,,,,,,,,,,,濟州大學,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Universität Jeju,,,,,,,,,,,济州大学,,,,濟州大學,,,,,,Jeju National University,济州大学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,済州大学校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeju National University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,université nationale de Jeju,,,,,,,,,,,,,,,,,,,,,제주대학교,,,,,,,,,,,,,,,
Jeju,OSM,Abhishek,Tourism,Love Land,济州爱情公园,https://batpad.github.io/quick-geocode/?name=Love%20Land&city=Jeju,"https://www.google.com/maps/search/Love+Land,+Jeju/",node,2457564577,,#N/A,quick-geocode,,,,,Q495590,,,,,,,,,,,,,,,,,,,,,,,,,,,Love Land,,,,,,,,,,,,,,,,,,Jeju Love Land,,,,,,,,,,,,,,,,,,,,,Love Land,,,,,,,,,,,,Tierra de Amor en Jeju,,,Love Land,,,,,,Love Land,,,,,,,,,,,,,,,,済州ラブ・ランド,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,जेजू लवलैंड,,,,,,,,,,,,,,,,,,,Love Land,,,,,,,,,,,,,,,أرض الحب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Love Land,,,,,,,,,,,,,,제주 러브랜드,Love Land,,,,,,,,,,,,,,
