City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,xmf,tr,nap,li,lv,lt,jam,tk,th,tg,te,sgs,pcd,ta,yi,lrc,ceb,yo,kk-kz,de,da,za,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,kaa,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,ms,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,krc,nds,yue,tt,udm,co,nso,bjn,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,mt,stq,uk,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,km,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,fr,ku,lad,fy,frp,fa,mai,fi,mzn,gom,ab,ky,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,su,or,sk,si,sh,so,mrj,sl,sc,sa,rgn,sw,se,sd
Bali,OSM,,Tourism,Lombok,龙目岛,https://batpad.github.io/quick-geocode/?name=Lombok&city=Bali,"https://www.google.com/maps/search/Lombok,+Bali/",node,3849735168,,#N/A,,115.7242,-8.64636,Lombok,,Q7564,,,Lombok,,,隆波岛,,,,,,,,,Lombok,,,Lombok,,,,,,,,,Lombok,,,,Lombokas,,,เกาะลอมบอก,,,,,லொம்போ,,,Lombok Island,,,Lombok,Lombok,,,,,,,,,,,,,,,,,,Λομπόκ,Lomboko,Lombok,龙目岛,,,,,,,,Lombok,Lombok,,Lombok,,Lombok,Ломбок,,,,,,,,লম্বক,,Востраў Ламбок,,Lombok,,,,,Lombok,,,Lombok,,ロンボク島,,Lombok,,Lombok,,,,,,,,,,,,Pulaw Lombok,Lombok,,,Lombok,,,Lombok,,,,,Lombok,,,,,,,,,Lombok,,Լոմբոկ,,,,,,Lombok,,लोम्बोक,,,,,,,,,,,,,,,لومبوک,,,Lombok,Ломбок,,,,,,,,,Lombok,,,Lombok,,,لومبوك,,,,,,Lombok,,Pulau Lombok,,,Lombok,Lombok,,,Lombok,,,,,,,,,,,,,,Lombok,,,Lombok,,لومبوک,,Lombok,,,,,Lombok,,ლომბოკი,,,,,Ломбок,,롬복 섬,Lombok,,,,,,,Ломбок,,,,,Lombok,,
Bali,OSM,,Tourism,Lovina Beach,罗威那海滩,https://batpad.github.io/quick-geocode/?name=Lovina%20Beach&city=Bali,"https://www.google.com/maps/search/Lovina+Beach,+Bali/",node,990891854,,#N/A,,115.02546,-8.15983,Lovina Beach,,Q1872519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lovina,,,,,,,,,,,,,,,,,,,,,Lovina Beach,,,,,,,,,,,,,,,Ловина,,,,,,,,,,,,,,,,,Pantai Lovina,,,,,ロヴィナ・ビーチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantai Lovina,,,Pantai Lovina,,,,,,,,,,,,,,,,,,Lovina Beach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Nusa Ceningan,努沙切宁安岛,https://batpad.github.io/quick-geocode/?name=Nusa%20Ceningan&city=Bali,"https://www.google.com/maps/search/Nusa+Ceningan,+Bali/",way,27285940,,#N/A,,115.4546514,-8.693582548,Nusa Ceningan,,Q3315165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nusa Ceningan,,,,,,,,,,,,,,,Нуса-Ченинган,,,,,,,,,,,,,,,,,,,,,,チュニガン島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nusa Ceningan,,,Nusa Ceningan,,,,,,,,,,,,,,,,,,Nusa Ceningan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Padang Bai,PadangBai小镇,https://batpad.github.io/quick-geocode/?name=Padang%20Bai&city=Bali,"https://www.google.com/maps/search/Padang+Bai,+Bali/",node,273955920,,#N/A,,115.50747,-8.53084,Padang Bai,,Q1910262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Padang Bai,,,,,,,,,,,,,,,,,,,,,Padangbai,,,,,,,,,,,,,,,,,,,,,,,,,,,"Padangbai, Manggis, Karangasem",,,,,,,,,,パダンバイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Padangbai,,,Padangbai,,,,,,,,,,,,,,,,,,Padangbai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Pura Luhur Uluwatu,乌鲁瓦图神庙,https://batpad.github.io/quick-geocode/?name=Pura%20Luhur%20Uluwatu&city=Bali,"https://www.google.com/maps/search/Pura+Luhur+Uluwatu,+Bali/",node,1768296160,,#N/A,,115.0844,-8.82928,Pura Luhur Uluwatu,,Q1381933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,ウルワツ寺院,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,Poera Oeloewatoe,,,,,,,,,,,,,,,,,,temple d'Uluwatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Pura Luhur Uluwatu,乌鲁瓦图寺,https://batpad.github.io/quick-geocode/?name=Pura%20Luhur%20Uluwatu&city=Bali,"https://www.google.com/maps/search/Pura+Luhur+Uluwatu,+Bali/",node,1768296160,,#N/A,,115.0844182,-8.829228433,Duplicated #9,,Q1381933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,ウルワツ寺院,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,,,,,,,,,,,,Pura Luhur Uluwatu,,,Poera Oeloewatoe,,,,,,,,,,,,,,,,,,temple d'Uluwatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Puri Lukisan Museum,鲁基桑美术馆,https://batpad.github.io/quick-geocode/?name=Puri%20Lukisan%20Museum&city=Bali,"https://www.google.com/maps/search/Puri+Lukisan+Museum,+Bali/",way,371346857,,#N/A,,115.2602944,-8.505112565,Puri Lukisan Museum,,Q7261229,en:Puri Lukisan Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puri Lukisan Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,Tanah Lot,海神庙,https://batpad.github.io/quick-geocode/?name=Tanah%20Lot&city=Bali,"https://www.google.com/maps/search/Tanah+Lot,+Bali/",node,314915373,,#N/A,,115.08687,-8.62125,Tanah Lot,,Q515253,en:Tanah Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pura Tanah Lot,,,,,,,,,,,,,,,,,,,,,Tanah Lot,海神廟,,,,,,,,,,,,,,Пура Танах Лот,,,,,,,,,,,,Tanah Lot,,,,,Tanah Lot,,,,,タナロット寺院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,तनाह लोत,,,,,,,,,,,,,,,,,,,Пура Танах Лот,,,,,,,,,,,,,,,تاناه لوط,,,,,,,,Tanah Lot,,,Pura Tanah Lot,,,,,,,,,,,,,,,,,,Tanah Lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bali,OSM,,Tourism,The Bali Bombing Memorial,巴厘岛爆炸纪念碑,https://batpad.github.io/quick-geocode/?name=The%20Bali%20Bombing%20Memorial&city=Bali,"https://www.google.com/maps/search/The+Bali+Bombing+Memorial,+Bali/",node,4182652970,,#N/A,,115.17449,-8.71732,The Bali Bombing Memorial,,Q86584,en:2002 Bali bombings,,,,,,,,,,,,2002年峇里島爆炸案,,,,,,,,,,,,,,2002 Bali saldırıları,,,,,,,เหตุระเบิดในบาหลี พ.ศ. 2545,,,,,2002 பாலி குண்டுவெடிப்புகள்,,,,,,Anschlag von Bali 2002,,,,,,,,,,,2002年巴厘岛爆炸案,,,,2002年峇里島爆炸案,,,,,,2002 Bali bombings,2002年巴厘島爆炸案,,,,,,,,2002ko Baliko atentatuak,,,Atentados de Bali de 2002,,,Террористические акты на Бали,,,,2002年巴厘岛爆炸案,,,,,,,,Pengeboman Bali 2002,,,峇厘岛爆炸案,,Bom Bali 2002,,,,,バリ島爆弾テロ事件,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atentados em Bali em outubro de 2002,2002年峇里島爆炸案,,,,,,,,Zamach na Bali,,,,,,,,,,बाली बम काण्ड २००२,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attentato di Bali del 2002,,,تفجيرات بالي عام 2002,,,,,,,,Bom Bali 2002,,,Bomaanslagen op Bali op 12 oktober 2002,,,,Terrorangrepet på Bali 2002,,,,,,,,,,,,,,Attentats de Bali,,,,,,,Balin pommi-iskut 2002,,,,,,,,,,,,,,2002년 발리 폭탄 테러,Bombdåden på Bali 2002,,,,,,,,,,,,,,
Bangkok,OSM,samely,Shopping,Chatuchak Weekend Market,加都加周末市场,https://batpad.github.io/quick-geocode/?name=Chatuchak%20Weekend%20Market&city=Bangkok,"https://www.google.com/maps/search/Chatuchak+Weekend+Market,+Bangkok/",node,4155852093,,#N/A,overpass,100.5510442,13.7996631,,,Q1068311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ตลาดนัดจตุจักร,,,,,,,,,,,Chatuchak-Markt,,,,,,,,,,,,,,,,,,,,,Chatuchak Weekend Market,恰圖恰市集,,,,,,,,,,,Mercado Chatuchak,,,,,,,,,,,,,,,,,,,,,,,,,チャトチャック・ウィークエンド・マーケット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chợ Chatuchak,,,,,,,,,,,,,,,,,Chatuchakmarkt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,짜뚜짝 시장,,,,,,,,,,,,,,,
