City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,tt,tr,nap,li,lv,lt,jam,tk,th,tg,udm,sgs,pcd,ta,yi,ceb,yo,kk-kz,de,da,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,fr,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,uk,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,nds,yue,xmf,co,nso,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,te,stq,ms,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,su,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,kaa,mt,mrj,fy,frp,fa,mai,fi,mzn,gom,ab,sa,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,km,or,sk,si,sh,so,ku,sl,sc,ky,rgn,sw,se,sd
Chiang Mai,OSM,piligab,Tourism,Wat Lok Molee,罗摩利寺,https://batpad.github.io/quick-geocode/?name=Wat%20Lok%20Molee&city=Chiang%20Mai,"https://www.google.com/maps/search/Wat+Lok+Molee,+Chiang+Mai/",node,1030600276,,#N/A,overpass,,,,,,th:วัดโลกโมฬี,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,วัดโลกโมฬี,,,,,,,,,,Wat Lok Mo Li,,,,,,,,,,,,,,,,,,,,Wat Lok Moli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wat Lok Mo Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanoi,OSM,Abhishek,Shopping,Parkson Keangnam,江南百盛,https://batpad.github.io/quick-geocode/?name=Parkson%20Keangnam&city=Hanoi,"https://www.google.com/maps/search/Parkson+Keangnam,+Hanoi/",way,339940207,"https://www.google.co.in/maps/place/Parkson+Keangnam/@21.0172037,105.7834182,21z/data=!4m13!1m7!3m6!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!2sParkson+Keangnam!3b1!8m2!3d21.0171658!4d105.7834733!3m4!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!8m2!3d21.0171658!4d105.7834733",http://www.openstreetmap.org/?mlat=21.0171658&mlon=105.7834733!3m4!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!8m2!/?mlat=21.0171658&mlon=105.7834733!3m4!1s0x3135ab5518dd4a0b:0xca427ff05a36edbb!8m2!/?mlat=21.0171658&mlon=105.7834733#map=18/21.0172037/105.7834182&layers=D,google,,,,,,en:Keangnam Hanoi Landmark Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เคียงนัมฮานอยแลนด์มาร์กทาวเวอร์,,,,,,,,,,Keangnam Hanoi Landmark Tower,,,,,,,,,,,,,,,,,,,,Keangnam Hanoi Landmark Tower,京南河内地标大厦,,,,Tour de Keangnam Hanoï Landmark,,,,Keangnam Hanoi Landmark Tower,,,Keangnam Hanoi Landmark Tower,,,Keangnam Hanoi Landmark Tower,,,,,,,,,,,,,,,,,,,,,,京南ハノイランドマークタワー,,,,,,,,,,,,,,,,,,,,,,,کيانگ نام هنویي لينډ مارک ټاور,,Keangnam Hanoi Landmark Tower,,,,,,,,,Keangnam Hanoi Landmark Tower,,,,Keangnam Hanoi Landmark Tower,,,,,,,,,کیانگنام ہانوئ لینڈمارک ٹاور,,,,,,,,,,,,کیانگ نام ہنوئی لینڈ مارک ٹاور,,,,,,,,,,,,,Keangnam Hanoi Landmark Tower,,,,,,,,,,,,,,Keangnam Hanoi Landmark Tower,,,Keangnam Hanoi Landmark Tower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,경남 하노이 랜드마크 타워,,,,,,,,,,,,,,,
Hanoi,OSM,Abhishek,Tourism,48 Hang Ngang House,48号横行街民居,https://batpad.github.io/quick-geocode/?name=48%20Hang%20Ngang%20House&city=Hanoi,"https://www.google.com/maps/search/48+Hang+Ngang+House,+Hanoi/",node,445345255,,#N/A,osm-nominatim,,,,,,vi:Nhà 48 Hàng Ngang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà 48 Hàng Ngang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanoi,OSM,karitop,Tourism,Hoa Lo Prison Museum,火炉监狱,https://batpad.github.io/quick-geocode/?name=Hoa%20Lo%20Prison%20Museum&city=Hanoi,"https://www.google.com/maps/search/Hoa+Lo+Prison+Museum,+Hanoi/",way,340128580,,#N/A,overpass,,,,"name in osm ""Phủ Chủ Tịch""",,en:Hỏa Lò Prison,,,,,,,,,,,,河內希爾頓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hanoi Hilton,,,,,,,,,,河内希尔顿,,,,河內希爾頓,,,,,,Hỏa Lò Prison,火爐監獄,,,,prison de Hỏa Lò,,,,,,,,,,Ханой Хилтон,,,,,,,,,,,,Ханой Хілтон,,,,,,,,,,ホアロー捕虜収容所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,הילטון האנוי,,,,,,,,,,,,,,,,,,,,,,,Hỏa Lò,,,Hanoi Hilton,,,,,,,,,,,,,,Hanoi Hilton,,,,Hanoi Hilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,하노이 힐턴,Hanoi Hilton,,,,,,,,,,,,,,
Hanoi,OSM,karitop,Tourism,Hoàn Kiem,还剑湖,https://batpad.github.io/quick-geocode/?name=Hoàn%20Kiem&city=Hanoi,"https://www.google.com/maps/search/Hoàn+Kiem,+Hanoi/",way,9566396,,#N/A,google,,,,"name in osm ""Hồ Hoàn Kiếm""",,en:Thuận Thiên (sword),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thuan Thien,順天劍,,,,,,,,,,,,,,Тхуантхьен,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thuận Thiên (kiếm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanoi,OSM,karitop,Tourism,Temple of Literature,文庙,https://batpad.github.io/quick-geocode/?name=Temple%20of%20Literature&city=Hanoi,"https://www.google.com/maps/search/Temple+of+Literature,+Hanoi/",node,309683951,,#N/A,overpass,105.8361148,21.0291422,,,Q1202019,"en:Văn Miếu - Quốc Tử Giám, Hanoi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Literaturtempel,Litteraturens Tempel,,,,,,,,,,,,,,,,,,,Temple of Literature,河内文庙,,,,temple de la Littérature de Hanoï,,,,,,,Templo de la literatura,,,Храм Литературы,,,,,,,,,,Храм Літаратуры,,,,,,,,,,,,文廟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Świątynia Literatury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Văn Miếu - Quốc Tử Giám,,,,,,,,,,,,Ədəbiyyat Məbədi,,,,,Văn Miếu,,,,,,,,,,,,,,,,,,,,,,,,,Văn Miếu,,,,,,,,,,,,,,문묘,Van Mieu,,,,,Hram literature,,,,,,,,,
Hanoi,OSM,karitop,Tourism,The National Convention Center of Vietnam,越南国家会议中心,https://batpad.github.io/quick-geocode/?name=The%20National%20Convention%20Center%20of%20Vietnam&city=Hanoi,"https://www.google.com/maps/search/The+National+Convention+Center+of+Vietnam,+Hanoi/",node,534907063,,#N/A,overpass,,,,,,en:Vietnam National Convention Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vietnam National Convention Center,越南国家会议中心,,,,,,,,,,,Centro Nacional de Convenciones de Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,ベトナム国立会議センター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trung tâm Hội nghị Quốc gia Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul,OSM,arun,Hotel,Hilton Istanbul Bosphorus,希尔顿伊斯坦布尔酒店,https://batpad.github.io/quick-geocode/?name=Hilton%20Istanbul%20Bosphorus&city=Istanbul,"https://www.google.com/maps/search/Hilton+Istanbul+Bosphorus,+Istanbul/",way,26970154,,#N/A,quick-geocode,,,,,,en:Hilton Istanbul Bosphorus,,,,,,,,,,,,,,,,,,,,,,,,,,İstanbul Hilton Oteli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊斯坦布林希爾頓酒店,,,,,,Hilton Istanbul Bosphorus,,,,,Hilton Istanbul Bosphorus,,,,,,,,,,,,,,伊斯坦布尔希尔顿酒店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul,OSM,Bharata,Restaurant,Seasons Restaurant,四季餐厅,https://batpad.github.io/quick-geocode/?name=Seasons%20Restaurant&city=Istanbul,"https://www.google.com/maps/search/Seasons+Restaurant,+Istanbul/",way,164590120,"https://www.google.co.in/maps/place/Seasons+Restaurant/@41.0066043,28.980134,21z/data=!4m13!1m7!3m6!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!2sSeasons+Restaurant!3b1!8m2!3d41.0066174!4d28.9802251!3m4!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!8m2!3d41.0066174!4d28.9802251",http://www.openstreetmap.org/?mlat=41.0066174&mlon=28.9802251!3m4!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!8m2!/?mlat=41.0066174&mlon=28.9802251!3m4!1s0x14cab9bc45ca8d25:0x176035b2e8fc74c9!8m2!/?mlat=41.0066174&mlon=28.9802251#map=18/41.0066043/28.980134&layers=D,google,,,,,,tr:Sultanahmet Cezaevi,,,,,,,,,,,,,,,,,,,,,,,,,,Sultanahmet Cezaevi,,,,,,,,,,,,,,,,,Sultan-Ahmed-Gefängnis,,,,,,,,,,,,,,,,,,,,Sultanahmet Jail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Хотел Султанахмед,,,,,,,,,,,,,,,,,,,,,,,,,,Sultanəhməd həbsxanası,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul,OSM,abhishek,Shopping,Haseki Hamam Carpet & Kilim Sales Store,Haseki地毯店,https://batpad.github.io/quick-geocode/?name=Haseki%20Hamam%20Carpet%20&%20Kilim%20Sales%20Store&city=Istanbul,"https://www.google.com/maps/search/Haseki+Hamam+Carpet+&+Kilim+Sales+Store,+Istanbul/",way,151790453,,#N/A,google,,,,Googgle  to OSM,,tr:Haseki Hamamı,,,,,,,,,,,,許蕾姆蘇丹公共浴場,,,,,,,,,,,,,,Haseki Hamamı,,,,,,,,,,,,,,,,,,,,,,,,,,,许蕾姆苏丹公共浴场,,,,許蕾姆蘇丹公共浴場,,,,,,Haseki Hürrem Sultan Hamamı,许蕾姆苏丹公共浴场,,,,,,,,,,,Baños de Roxelana,,,,,,,,,,,,,,,,,,,,,,,,,ハセキ・ヒュッレム・スルタン・ハンマーム,,,,,,,,,,夏西基浴場,,,,,,,,,,,,,,,Banhos de Roxelana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Бања Хасеки Хурем Султан,,,,,,,,,,,,,,,,,Haseki Hürrem Sultan Hamami,,,,,,,,,Haseki Hamamı,,,,,Haseki Hürrem Sultan Hamamı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
