City,Status,assignee,Type,name_en,name_zh,OSM Search,GM Search,osm_type,osm_id,GM locatio,OSM location,source,lon,lat,custom_name,comments,wikidata,wikipedia,gv,sco,scn,sr-ec,wuu,vmf,nan,sr-el,cdo,gu,got,zh-hk,gd,pt-br,ga,gn,gl,hak,lb,kk-cn,vep,la,ln,lo,tt,tr,nap,li,lv,lt,jam,tk,th,tg,udm,sgs,pcd,ta,yi,ceb,yo,kk-kz,de,da,lzh,pdc,hif,rm,dv,qu,vls,bar,zh-hans,eml,kn,de-ch,zh-hant,map-bms,mhr,diq,el,eo,en,zh,pms,ee,arz,fr,kk-tr,arc,kk-cyrl,eu,et,wo,es,ba,en-gb,ru,rw,kl,ak,zh-cn,new,ro,dsb,bn,hsb,be,bg,uk,wa,ast,zh-sg,bm,jv,bo,rue,br,bs,ja,fit,ace,ilo,oc,ltg,be-tarask,tw,de-at,nds,yue,xmf,co,nso,ca,lmo,ce,cy,ang,csb,cs,cv,frc,ps,srn,pt,zh-tw,tl,frr,pa,xal,crh-latn,fo,war,pl,vec,hy,nrm,hr,iu,zh-my,ht,hu,gan,hi,gag,zh-mo,pnb,bug,he,mg,kk-latn,fur,kw,uz,ml,azb,mn,mk,ur,zea,te,stq,ms,mr,ug,mwl,my,prg,sah,bho,af,vi,is,am,it,an,as,ar,su,io,av,ia,szl,az,ie,id,nds-nl,pap,nl,nn,min,na,nb,gan-hans,gan-hant,ne,lij,nah,kk-arab,cbk-zam,vo,pag,zu,ksh,pam,kab,kaa,mt,mrj,fy,frp,fa,mai,fi,mzn,gom,ab,sa,en-ca,bcl,ka,kg,gsw,ckb,kk,sr,sq,ko,sv,km,or,sk,si,sh,so,ku,sl,sc,ky,rgn,sw,se,sd
Kyoto,OSM,ramya,Tourism,Nijō Castle,二条城,https://batpad.github.io/quick-geocode/?name=Nijō%20Castle&city=Kyoto,"https://www.google.com/maps/search/Nijō+Castle,+Kyoto/",way,57111281,"https://www.google.co.in/maps/place/Nij%C5%8D+Castle/@35.0142318,135.7468758,17.84z/data=!4m5!3m4!1s0x600107d40a2b9b0b:0x106b8759906a2f2f!8m2!3d35.0142299!4d135.748218",http://www.openstreetmap.org/?mlat=35.0142299&mlon=135.748218#map=18/35.0142318/135.7468758&layers=D,quick-geocode,,,,,,ja:二条城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ปราสาทนิโจ,,,,,,,,,,Burg Nijō,,,,,,,,,,,,,,,,,,,,Nijō Castle,二條城,,,,château de Nijō,,,,Nijō gaztelua,,,Castillo Nijō,,,Нидзё (замок),,,,,,,,,,,,Замок Нідзьо,,,,,,,,,,二条城,,,,,,,,,,,,,,,,,Castell Nijo,,,Hrad Nidžó,,,,,Castelo de Nijō,,,,,,,,,nijo zamek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castello Nijō,,,,,,,,,Nidzyo qəsri,,Istana Nijo,,,Kasteel Nijo,,,,,,,,,,,,,,,,,,,,,,,,,Nijōn linna,,,,,,,,,,,,,,니조 성,Nijo slott,,,,,,,,,,,,,,
Kyoto,OSM,RichRico,Tourism,Okazaki Park,冈崎公园,https://batpad.github.io/quick-geocode/?name=Okazaki%20Park&city=Kyoto,"https://www.google.com/maps/search/Okazaki+Park,+Kyoto/",way,432843532,,#N/A,overpass,,,,,,ja:岡崎公園 (京都市),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡崎公園,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡崎公園 (京都市),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyoto,OSM,ramya,Tourism,Umekōji Steam Locomotive Museum,梅小路蒸汽火车纪念馆,https://batpad.github.io/quick-geocode/?name=Umekōji%20Steam%20Locomotive%20Museum&city=Kyoto,"https://www.google.com/maps/search/Umekōji+Steam+Locomotive+Museum,+Kyoto/",node,1422966367,"https://www.google.com.pe/maps/place/Kyoto+Railway+Museum/@34.9869535,135.74218,18.67z/data=!4m5!3m4!1s0x6001061746adc243:0x899ffa889ace79ed!8m2!3d34.9869656!4d135.7428432",http://www.openstreetmap.org/?mlat=34.9869656&mlon=135.7428432#map=18/34.9869535/135.74218&layers=D,google,,,,,,ja:梅小路蒸気機関車館,,,,,,,,,,,,梅小路蒸氣火車博物館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梅小路蒸气火车博物馆,,,,,,,,,,Umekoji Steam Locomotive Museum,梅小路蒸汽機關車館,,,,Musée de la locomotive d'Umekoji,,,,,,,Museo de la Locomotora de vapor de Umejoki,,,,,,,,,,,,,,,,,,,,,,,,,梅小路蒸気機関車館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,우메코지 증기 기관차관,,,,,,,,,,,,,,,
London,OSM,,Hotel,Strand Palace Hotel,斯特兰德宫酒店,https://batpad.github.io/quick-geocode/?name=Strand%20Palace%20Hotel&city=London,"https://www.google.com/maps/search/Strand+Palace+Hotel,+London/",node,603137904,,#N/A,,-0.120169541519880,51.5110011119531,Strand Palace Hotel,,,en:Strand Palace Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strand Palace Hotel,,,,,Strand Palace Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文記事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,OSM,,Restaurant,Borough Market,博罗市场,https://batpad.github.io/quick-geocode/?name=Borough%20Market&city=London,"https://www.google.com/maps/search/Borough+Market,+London/",way,24282400,,#N/A,,-0.09053715,51.50548836,Borough Market,,,en:Borough Market,,,,,,,,,,,,,,,Borough Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borough Market,,,,,,,,,,,,,Borough Market,,,,,,,Borough Market,博羅市場,,,,Borough Market,,,,,,,Borough Market,,Borough Market,,,,,,,,,,,,,,,,,,,,,,,バラ市場,,,,,,,,,,,,,,Mercat de Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borough Market,,,بورو ماركت,,,,,,,,,,,Borough Market,,,,Borough Market,,,,,,,,,,,,,,,,,,,بارو (بازار),,,,,,,Borough Market,,,,,,,,,,,,,,,,,,,,,,,,
London,OSM,,Shopping,Columbia Road Flower Market,哥伦比亚路鲜花市场,https://batpad.github.io/quick-geocode/?name=Columbia%20Road%20Flower%20Market&city=London,"https://www.google.com/maps/search/Columbia+Road+Flower+Market,+London/",way,350349593,,#N/A,,-0.0696046,51.52920396,Columbia Road Flower Market,,,en:Columbia Road Flower Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Road market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia Road Flower Market,,,,,,,,,,,,,,Columbia Road market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,OSM,,Shopping,Harrods,哈罗德百货,https://batpad.github.io/quick-geocode/?name=Harrods&city=London,"https://www.google.com/maps/search/Harrods,+London/",way,25739565,,#N/A,,-0.1624962355,51.49942398,Harrods,,Q332474,en:Harrods,,,,,,,,,,,,哈洛德百貨公司,,,Harrods,,,,,,,,,,,Harrods,,,stonehenge build by native britons,Harrods,,,แฮร์รอดส์,,,,,,,,,,Harrods,Harrods,,,,,,,,,哈洛德百货公司,,,,哈洛德百貨公司,,,,Χάροντς,,Harrods,哈洛德百貨公司,,,هارودز,Harrods,,,,,Harrods,,Harrods,,,Harrods,,,,哈洛德百货公司,,Harrods,,,,,,Harrods,,,哈洛德百货公司,,,,,,,ハロッズ,,,,,,,,,,,,,,Harrods,,,Harrods,,,Harrods,,,,,Harrods,哈洛德百貨公司,,,,,,,,Harrods,,,,,,,,,夏羅資,,,,,,הרודס,,,,,,,,,,,,,,Harrods,,,,,,,,,,Harrods,,Harrods,,,هارودز,,,,,,,,Harrods,,,Harrods,,,,Harrods,夏罗资,夏羅資,,,,,,,,,,,,,,,,,هرودس,,Harrods,,,,,,,,,,,,Хародс,,해러즈,Harrods,,,,,,,,,,,,,,
London,OSM,,Shopping,Selfridges,塞尔福里奇百货,https://batpad.github.io/quick-geocode/?name=Selfridges&city=London,"https://www.google.com/maps/search/Selfridges,+London/",way,39814415,,#N/A,,-0.1528339,51.5146856,Selfridges,,,en:Selfridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selfridges,,,เซลฟริดเสจ,,,,,,,,,,Selfridges,,,,,,,,,,,,,,,,,,,Selfridges,Selfridges,Selfridges,,,,Selfridges,,,,,Selfridges,,Selfridges,,,,,,,,,,,,,,,Селфрідж,,,,,,,,,,セルフリッジズ,,,,,,,,,,,,,,,,,,,,,,,,,Selfridges,,,,,,,,,Selfridges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selfridges,,Selfridges,,Selfridges,,,,,,,,,,,,,,Selfridges,,,,Selfridges,,,,,,,,,,,,,,,,,,,سلفریجز,,Selfridges,,,,,,,,,,,,,,셀프리지스,Selfridges,,,Budova Selfridges Birmingham,,Selfridges,,,,,,,,,
London,OSM,,Tourism,Big Ben,大本钟,https://batpad.github.io/quick-geocode/?name=Big%20Ben&city=London,"https://www.google.com/maps/search/Big+Ben,+London/",node,1802652184,,#N/A,,-0.124390992086976,51.5007313501467,Big Ben,,,en:Big Ben,,,,,,,,,,,,,,Big Ben,Big Ben,,Big Ben,,,,,Big Ben,,,,Big Ben,,,Bigbens,Vestminsterio laikrodžio bokštas,,,บิกเบน,,,,,பிக் பென்,,Big Ben (bantayog),,,Big Ben,Big Ben,,,,,,,,,,,ಬಿಗ್ ಬೆನ್,Big Ben,,,,,Μπιγκ Μπεν,Big Ben,Big Ben,大本钟,,,بيج بين,Big Ben,,,,Big Ben,Big Ben,,Big Ben,,Big Ben,Биг-Бен,,,,,,Big Ben,,বিগ বেন,,Біг-Бен,Биг Бен,Біг-Бен,,,,,Big Ben,པིན་ཆེན་ཆུ་ཚོད།,,,Big Ben,ビッグ・ベン,,,,Big Ben,,Біг-Бэн,,,,大笨鐘,,,,Big Ben,,,Big Ben,,,Big Ben,,,,,Big Ben,,,,,,,,Big Ben,Big Ben,Big Ben,Բիգ Բեն,,Big Ben,,,,Big Ben,,बिग बेन,,,بگ بن,,ביג בן,,,,,Big Ben,ബിഗ് ബെൻ,,,Биг Бен,بگ بین,,బిగ్ బెన్,,Big Ben,बिग बेन,,,ဘစ်ဘင်နာရီစင်,,,,Big Ben,Big Ben,Klukkuturn Westminsterhallar,,Big Ben,,,بيج بن,,,,,,Biq Ben,,Big Ben,,,Big Ben,Big Ben,,,Big Ben,,,,,,,,,,,,,,,,,,,ساعت بیگ بن,,Big Ben,,,,,Big Ben,Big Ben,ბიგ-ბენი,,,بیگ بێن,Big Ben,Биг Бен,Big Ben,빅 벤,Big Ben,,,Hodinová veža,,Big Ben,Big Ben,,,,Биг Бен,,,,
London,OSM,,Tourism,British Museum,大英博物馆,https://batpad.github.io/quick-geocode/?name=British%20Museum&city=London,"https://www.google.com/maps/search/British+Museum,+London/",relation,177044,,#N/A,,-0.126183849039077,51.5193270002165,British Museum,it's a relation,Q6373,en:British Museum,,,British Museum,,大英博物馆,,Tāi-eng Phok-bu̍t-koán,,,,,大英博物館,,Museu Britânico,Músaem na Breataine,,Museo Británico,,British Museum,,,Museum Britannicum,,,,British Museum,,,Britu muzejs,Britų muziejus,,,พิพิธภัณฑ์บริติช,Осорхонаи Британия,,,,பிரித்தானிய அருங்காட்சியகம்,בריטישער מוזיי,,,,British Museum,British Museum,大英博物館,,,,,,,,大英博物馆,,,British Museum,大英博物館,,Британийысе тоштер,,Βρετανικό Μουσείο,Brita Muzeo,British Museum,大英博物馆,British Museum,,المتحف البريطانى,British Museum,,,,British Museum,Briti Muuseum,,Museo Británico,,British Museum,Британский музей,,,,大英博物馆,,British Museum,,ব্রিটিশ মিউজিয়াম,,Брытанскі музей,Британски музей,Британський музей,,Muséu Británicu,,,,,,British Museum,Britanski muzej,大英博物館,,,,British Museum,,Брытанскі музэй,,,,大英博物館,ბრიტანეთიშ მუზეუმი,,,Museu Britànic,,,Yr Amgueddfa Brydeinig,Bryttisce Museum,,Britské muzeum,Британи музейĕ,,د برتانيې موزيم,,Museu Britânico,大英博物館,,,ਬ੍ਰਿਟਿਸ਼ ਮਿਊਜ਼ੀਅਮ,,,,Museo Britaniko,Muzeum Brytyjskie,,Բրիտանական թանգարան,,British Museum,,,,British Museum,,ब्रिटिश संग्रहालय,,,برٹش میوزیم,,המוזיאון הבריטי,,,,,Britaniya muzeyi,,,,Британски музеј,برٹش میوزیم,,బ్రిటిష్ మ్యూసియం,,Muzium British,,,,ဗြိတိသျှပြတိုက်,,,,Britse Museum,Bảo tàng Anh,Þjóðminjasafn Bretlands,,British Museum,,,المتحف البريطاني,,,,,,Britaniya muzeyi,,British Museum,,,British Museum,British Museum,,,British Museum,,,,,,,,,,,,,,,,,Britsk Museum,,موزه بریتانیا,,British Museum,بریتانیا موزه,,,,British Museum,,ბრიტანეთის მუზეუმი,,,,,Британски музеј,,대영 박물관,British Museum,,,British Museum,,British Museum,,,Britanski muzej,,,,,,برٽش ميوزيم
London,OSM,,Tourism,Buckingham Palace,白金汉宫,https://batpad.github.io/quick-geocode/?name=Buckingham%20Palace&city=London,"https://www.google.com/maps/search/Buckingham+Palace,+London/",relation,5208404,,#N/A,,-0.142536763806343,51.5009750704899,Buckingham Palace,it's a relation,Q42182,en:Buckingham Palace,,Buckingham Palace,,,,,,,,બકિંગહામ પેલેસ,,白金漢宮,,Palácio de Buckingham,Pálás Buckingham,,Palacio de Buckingham,Buckingham Kiûng,,,,,,,Букингем сарае,Buckingham Sarayı,,,Bekingemas pils,,,,พระราชวังบักกิงแฮม,,,,,பக்கிங்காம் அரண்மனை,,,,,Buckingham Palace,Buckingham Palace,,,,,,,,,白金汉宫,,ಬಕಿಂಗ್ಹ್ಯಾಮ್ ಅರಮನೆ,Buckingham Palace,白金漢宮,,,,Ανάκτορα του Μπάκιγχαμ,Palaco Buckingham,Buckingham Palace,白金汉宫,Buckingham Palace,,,palais de Buckingham,,,,Buckingham jauregia,Buckinghami palee,,Palacio de Buckingham,,Buckingham Palace,Букингемский дворец,,,,白金汉宫,,Palatul Buckingham,,বাকিংহাম প্রাসাদ,,Букінгемскі палац,Бъкингамски дворец,Букінгемський палац,,,,,Kadhaton Buckingham,,,Palez Buckingham,Bakingemska palača,バッキンガム宮殿,,,,Buckingham Palace,,Бэкінггэмскі палац,,,,白金漢宮,,,,Palau de Buckingham,,,Palas Buckingham,,,Buckinghamský palác,,,,,Palácio de Buckingham,白金漢宮,Palasyong Buckingham,,,,,,Palasyo han Buckingham,Buckingham Palace,,Բուքինգեմյան պալատ,,Buckinghamska palača,,,,Buckingham-palota,,बकिंघम पैलेस,,,بکنگھم محل,,ארמון בקינגהאם,,,,,,ബക്കിങ്ങാം കൊട്ടാരം,,,Бакингемска палата,بکنگھم محل,,బకింగ్ హామ్ పాలెస్,,Istana Buckingham,बकिंगहॅम राजवाडा,,,,,,,Buckingham-paleis,Cung điện Buckingham,Buckinghamhöll,,Buckingham Palace,,,قصر بكنغهام,,,,,,Bukingem sarayı,,Istana Buckingham,,,Buckingham Palace,Buckingham Palace,,,Buckingham Palace,,,बकिंघम प्यालेस,,,,El Palacio de Buckingham,,,,,,,,,,Buckingham Palace,,کاخ باکینگهام,,Buckinghamin palatsi,,,,,Buckingham Palace,,ბაკინგემის სასახლე,,,,Букингем сарайы,Бакингемска палата,,버킹엄 궁전,Buckingham Palace,,,Buckinghamský palác,,Buckinghamska palača,,,Buckinghamska palača,,,,,,
London,OSM,,Tourism,Cenotaph,和平纪念碑,https://batpad.github.io/quick-geocode/?name=Cenotaph&city=London,"https://www.google.com/maps/search/Cenotaph,+London/",node,59598355,,#N/A,,-0.125848074903488,51.5026600072235,Cenotaph,"the full name is ""the Cenotaph""",,"en:Cenotaph#The Cenotaph, London",,,,кенотаф,,,,kenotaf,,,,紀念碑,,,,,,,Kenotaph,,,Cenotaphium,,,,anıt mezar,,,,Kenotafas,,,,,,,,வெறுங்கல்லறை,,,,,Kenotaph,Kenotaf,,,,,,,,,纪念碑,,,,紀念碑,,,,,,cenotaph,纪念碑,,,,cénotaphe,,,,Zenotafio,Kenotaaf,,cenotafio,,,Кенотаф,,,,纪念碑,,Cenotaf,,,,Кенатаф,Кенотаф,Кенотаф,,,纪念碑,,,,,,,慰霊碑,,,,,Kenotafs,Кенатаф,,,,,,,,Cenotafi,,,,,,Kenotaf,,,,,Cenotáfio,紀念碑,,,,,,,,Cenotaf,,,,Kenotaf,,,,Kenotáfium,,,,,,,אנדרטה,,,,,,,,,,,,,,Tugu,,,,,,,,,,,,cenotafio,,,القبر الأجوف,,Cenotafio,,,,Kenotaf,,,,,cenotaaf,,,,kenotaf,,,,,,,,,,,,,,,,,Senotaaf,,تهی‌گور,,Kenotafi,,,,,,,კენოტაფი,,,,,кенотаф,,기념비,Kenotaf,,,,,Kenotaf,,,,,Кенотаф,,,,
London,OSM,,Tourism,Eltham Palace,艾尔森宫,https://batpad.github.io/quick-geocode/?name=Eltham%20Palace&city=London,"https://www.google.com/maps/search/Eltham+Palace,+London/",way,17110975,,#N/A,,0.048379387731552,51.4469079763005,Eltham Palace,,,en:Eltham Palace,,,,,,,,,,,,,,,Eltham Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eltham Palace,,,,,,,,,,,,,,埃爾特姆宮,,,,,,Eltham Palace,埃爾特姆宮,,,,Eltham Palace,,,,,,,,,,,,,,埃尔特姆宫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eltham Palace,,,,,,,,,Pałac Eltham,,,,,,,,,,,,,,,ארמון אלת'ם,,,,,,,,,,ایلتھیم پیلس,,,,,,,,,,,,Eltham-paleis,,,,Eltham Palace,,,,,,,,,,,,,,Eltham Palace,,,,Eltham Palace,,,,,,,,,,,,,,,,,,,کاخ ایلتهام,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,OSM,,Tourism,Fashion & Textile Museum,时装及纺织品博物馆,https://batpad.github.io/quick-geocode/?name=Fashion%20&%20Textile%20Museum&city=London,"https://www.google.com/maps/search/Fashion+&+Textile+Museum,+London/",way,101154182,,#N/A,"fb, google map, wego.here",-0.081632914767265,51.5012193166046,Fashion & Textile Museum,,,en:Fashion and Textile Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fashion and Textile Museum,時尚和紡織品博物館,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,OSM,,Tourism,London Eye,伦敦眼,https://batpad.github.io/quick-geocode/?name=London%20Eye&city=London,"https://www.google.com/maps/search/London+Eye,+London/",way,204068874,,#N/A,,-0.119478192625045,51.5032315362804,London Eye,,,en:London Eye,,London Eye,London Eye,Лондонско око,,,,Londonsko oko,,લંડન આઇ,,倫敦眼,,,Súil Londan,,London Eye,,London Eye,,,,,,,London Eye,,,Londonas acs,Londono akis,,,ลอนดอนอาย,,,,,லண்டனின் கண்,,,,,London Eye,London Eye,,,,,,,,,伦敦眼,,,,倫敦眼,,,,,Londona Okulo,London Eye eye,倫敦眼,,,,London Eye,,,,London Eye,,,London Eye,Лондон күҙе,,Лондонский глаз,,,,伦敦眼,,Roata din Londra,,,,Лонданскае вока,Лондонско око,Лондонське око,,,伦敦眼,,,,,,,ロンドン・アイ,,,,,,Лёнданскае вока,,,,,,,,London Eye,,,,Lunden Ēage,,Londýnské oko,,,,,London Eye,倫敦眼,,,ਲੰਡਨ ਆਈ,,,,,London Eye,London eye,Լոնդոնի աչք,,,,,,London Eye,,,,,لندن اکھ,,לונדון איי,,,,,,ലണ്ടൻ ഐ,,,Лондонско око,,,,,Mata London,लंडन आय,,,လန်ဒန်မျက်လုံး,,,,,Mắt Luân Đôn,London Eye,,London Eye,,,عين لندن,,,,,,Londonun gözü,,Mata London,,,London Eye,London Eye,,,London Eye,,,,,,,,,,,,,,,,,London Eye,,چشم لندن,,London Eye,لندن چش,,,,,,ლონდონის თვალი,,,,,Лондонско око,,런던 아이,London Eye,,,London Eye,,,,,London Eye,,,,,,
London,OSM,,Tourism,Lord's Cricket Ground,罗德板球场,https://batpad.github.io/quick-geocode/?name=Lord's%20Cricket%20Ground&city=London,"https://www.google.com/maps/search/Lord's+Cricket+Ground,+London/",way,19790006,,#N/A,,-0.171521136822700,51.5298467737657,Lord's Cricket Ground,,Q331613,en:Lord's Cricket Ground,,,,Лордов терен за крикет,,,,Lordov teren za kriket,,,,,,,Lord's Cricket Ground,,,,,,,,,,,,,,,Lord's Cricket Ground,,,,,,,,இலார்ட்சு துடுப்பாட்ட மைதானம்,,,,,Lord’s Cricket Ground,Lord’s Cricket Ground,,,,,,,,,,,ಲಾರ್ಡ್ಸ್ ಕ್ರಿಕೆಟ್ ಮೈದಾನ,Lord’s Cricket Ground,,,,,,,Lord's Cricket Ground,羅德板球場,,,,Lord's Cricket Ground,,,,,,,Lord's Cricket Ground,,Lord's Cricket Ground,Lord's Cricket Ground,,,,,,,,লর্ড’স ক্রিকেট গ্রাউন্ড,,,,Lord's Cricket Ground,,,,,,,,,,ローズ・クリケット・グラウンド,,,,,,,,,,,,,,,,,,,,Lord's Cricket Ground,,,,,,,,,,,,,,Lord's Cricket Ground,,Lord’s Cricket Ground,,,,,,,,लॉर्ड्स क्रिकेट ग्राउंड,,,لارڈ کرکٹ گراؤنڈ,,מגרש הקריקט לורדס,,,,,,ലോർഡ്സ് ക്രിക്കറ്റ് സ്റ്റേഡിയം,,,,لارڈز کرکٹ گراؤنڈ,,లార్డ్స్ క్రికెట్ స్టేడియం,,,लॉर्ड्स क्रिकेट मैदान,,,,,,,Lord’s,,Lord's Cricket Ground,,Lord's Cricket Ground,,,,,,,,,,,,,,Lord's Cricket Ground,,,,Lord's Cricket Ground,,,लर्ड्स क्रिकेट ग्राउण्ड,,,,,,,,,,,,,,,,زمین کریکت لورد,,,,,,,Lord's Cricket Ground,,,,,,,Лордов терен за крикет,,런던 로드 크리켓 구장,Lord's Cricket Ground,,,,,Lord's Cricket Ground,,,,,,,,,
London,OSM,,Tourism,Mansion House,伦敦市长官邸,https://batpad.github.io/quick-geocode/?name=Mansion%20House&city=London,"https://www.google.com/maps/search/Mansion+House,+London/",way,33695114,,#N/A,,-0.089440786542892,51.5130350575040,Mansion House,,,"en:Mansion House, London",,,,,,,,,,,,倫敦市長官邸,,Mansion House,Mansion House,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mansion House,,,,,,,,,,伦敦市长官邸,,,Mansion House,倫敦市長官邸,,,,,,Mansion House,伦敦市长官邸,,,,Mansion House,,,,,,,,,Mansion House,,,,,市长公馆,,,,,,,,,,,,,,,,,,マンションハウス,,,,,,,,,,,,,,,,,,,,,,,,,Mansion House,,,,,,,,,,,,,,,,,,,,,,,,בית האחוזה,,,,,,,,,,,,,,,,,,,,,,Mansion House,,,,,,,مانشن هاوس,,,,,,,,,,,Mansion House,,,,Mansion House,,,,,,,,,,,,,,,,,,,منشن هاوس، لندن,,,,,,,"Mansion House, London",,,,,,,,,,,,,Mansion House,,,,,,,,,,,
London,OSM,,Tourism,National Gallery,国家美术馆,https://batpad.github.io/quick-geocode/?name=National%20Gallery&city=London,"https://www.google.com/maps/search/National+Gallery,+London/",way,4372002,,#N/A,,-0.128225657567977,51.5089151297332,National Gallery,,Q180788,en:National Gallery,,National Gallery,National Gallery di Londra,Национална галерија у Лондону,,,,Nacionalna galerija u Londonu,,,,國家美術館,,,An Gailearaí Náisiúnta,,National Gallery,,,,,Pinacotheca Nationalis,,,,National Gallery,,,Nacionālā galerija,Londono nacionalinė galerija,,,หอศิลป์แห่งชาติ,,,,,லண்டன் தேசிய அருங்காட்சியகம்,,,,,"National Gallery, London",National Gallery,,,,,,,,,国家美术馆,,,,國家美術館,,,,Εθνική Πινακοθήκη Λονδίνου,Nacia Galerio,National Gallery,国家美术馆,,,,National Gallery,,,,National Gallery,Rahvusgalerii,,National Gallery de Londres,,National Gallery,Лондонская Национальная галерея,,,,国家美术馆,,National Gallery,,ন্যাশনাল গ্যালারি,,Лонданская Нацыянальная галерэя,,Національна галерея,,,国家美术馆,,,,,,Nacionalna galerija,ナショナル・ギャラリー,,,,,,,,,,,,,,National Gallery de Londres,,,Yr Oriel Genedlaethol,,,Národní galerie,,,,,National Gallery,國家美術館,,,,,,,,National Gallery w Londynie,,Լոնդոնի ազգային պատկերասրահ,,Nacionalna galerija,,,,National Gallery,,,,,نیشنل گیلری,,הגלריה הלאומית,,,,,,,,,Национална галерија,,,,,,,,,,,,,,,Listasafn Bretlands,,National Gallery,,,المتحف الوطني,,,,,,London milli qalereyası,,Galeri Nasional London,,,National Gallery,,,,National Gallery,,,,,,,,,,,,,,,,,,,نگارخانه ملی لندن,,National Gallery,لندن ملی نگارخنه,,,,,,ეროვნული გალერეა,,,,,Национална галерија у Лондону,,내셔널 갤러리,National Gallery,,,National Gallery,,,,,,,,,,,
London,OSM,,Tourism,Old Operating Theatre Museum & Herb Garret,旧手术室博物馆,https://batpad.github.io/quick-geocode/?name=Old%20Operating%20Theatre%20Museum%20&%20Herb%20Garret&city=London,"https://www.google.com/maps/search/Old+Operating+Theatre+Museum+&+Herb+Garret,+London/",way,90404358,,#N/A,,-0.088388410756588,51.5049598353751,Old Operating Theatre Museum,,,en:Old Operating Theatre Museum and Herb Garret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Old Operating Theatre Museum and Herb Garret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
