Name,osm:wikidata,admin,wiki:logs,Wikidata Link,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:no,wiki:label:nb,wiki:label:nn,wiki:label:sv
Burkina Faso,Q965,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q965,"No no label,nb Present,nn Present,sv Present,",Q965,Burkina Faso,Burkina Faso,,,Burkina Faso,Burkina Faso,Burkina Faso
Antigua and Barbuda,Q781,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q781,"No no label,nb Present,nn Present,sv Present,",Q781,Antigua and Barbuda,Antigua and Barbuda,,,Antigua og Barbuda,Antigua og Barbuda,Antigua och Barbuda
El Salvador,Q792,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q792,"No no label,nb Present,nn Present,sv Present,",Q792,El Salvador,El Salvador,,,El Salvador,El Salvador,El Salvador
Vanuatu,Q686,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q686,"No no label,nb Present,nn Present,sv Present,",Q686,Vanuatu,Vanuatu,,,Vanuatu,Vanuatu,Vanuatu
Somaliland,Q34754,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q34754,"No no label,nb Present,nn Present,sv Present,",Q34754,Somaliland,Somaliland,,,Somaliland,Somaliland,Somaliland
Ethiopia,Q115,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q115,"No no label,nb Present,nn Present,sv Present,",Q115,Ethiopia,Ethiopia,,,Etiopia,Etiopia,Etiopien
Turkmenistan,Q874,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q874,"No no label,nb Present,nn Present,sv Present,",Q874,Turkmenistan,Turkmenistan,,,Turkmenistan,Turkmenistan,Turkmenistan
Azerbaijan,Q227,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q227,"No no label,nb Present,nn Present,sv Present,",Q227,Azerbaijan,Azerbaijan,,,Aserbajdsjan,Aserbajdsjan,Azerbajdzjan
Turkey,Q43,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q43,"No no label,nb Present,nn Present,sv Present,",Q43,Turkey,Turkey,,,Tyrkia,Tyrkia,Turkiet
Sierra Leone,Q1044,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q1044,"No no label,nb Present,nn Present,sv Present,",Q1044,Sierra Leone,Sierra Leone,,,Sierra Leone,Sierra Leone,Sierra Leone
Lithuania,Q37,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q37,"No no label,nb Present,nn Present,sv Present,",Q37,Lithuania,Lithuania,,,Litauen,Litauen,Litauen
Saint Kitts and Nevis,Q763,country,"No no label,nb Present,nn Present,sv Present,",https://wikidata.org/wiki/Q763,"No no label,nb Present,nn Present,sv Present,",Q763,Saint Kitts and Nevis,Saint Kitts and Nevis,,,Saint Kitts og Nevis,Saint Kitts og Nevis,Saint Kitts och Nevis
