@type,@id,name,name:en,osm:wikipedia,osm:wikidata,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:zh,wiki:label:zh-hans,wiki:label:zh-cn,wiki:label:zh-hant,wiki:label:zh-hk,wiki:label:zh-tw,wiki:label:hi,wiki:label:es,wiki:label:fr,wiki:label:de,wiki:label:ja,wiki:label:ko,wiki:label:ru,wiki:label:pt,wiki:label:ar
node,2502425156,Buôn Ma Thuột,Buon Ma Thuot,vi:Buôn Ma Thuột,Q33469,"zh Present,zh-hans Present,No zh-cn label,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",,Buôn Ma Thuột,Buôn Ma Thuột,,邦美蜀市,邦美蜀市,,邦美蜀市,,,,Buôn Ma Thuột,Buôn Ma Thuột,Buôn Ma Thuột,バンメトート,부온마투옷,Буонметхуот,Buon Ma Thuot,
node,1754728286,Cam Ranh,Cam Ranh,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,369487053,Nha Trang,Nha Trang,vi:Nha Trang,Q19491,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Nha Trang,Nha Trang,,芽莊市,芽莊市,芽莊市,芽莊市,,,ना त्राङ्ग,Nha Trang,Nha Trang,Nha Trang,ニャチャン,냐짱,Нячанг,Nha Trang,نها ترانج
node,369487091,Pleiku,Pleiku,en:Pleiku,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q30599,Pleiku,Pleiku,,波來古市,,,,,,,Pleiku,Pleiku,Plei Cu,プレイク,쁠래이꾸,Плейку (город),Pleiku,
node,369486909,Kon Tum,Kon Tum,en:Kon Tum,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",Q36493,Kon Tum,Kon Tum,,崑嵩市,,,,,,,Kon Tum,Kon Tum,Kon Tum,コントゥム,꼰뚬,Контум,,
node,369486928,Tuy Hòa,Tuy Hòa,vi:Tuy Hòa,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q35747,Tuy Hòa,Tuy Hòa,,綏和市,,,,,,,Tuy Hòa,Tuy Hòa,Tuy Hòa,トゥイホア,뚜이호아,Туихоа,Tuy Hoa,
node,369487010,Quy Nhơn,Quy Nhơn,en:Qui Nhơn,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",Q36081,Qui Nhơn,Qui Nhơn,,歸仁市,,,,,,,Quy Nhơn,Quy Nhơn,Quy Nhơn,クイニョン,꾸이년,Куинён,,
node,369486914,Quảng Ngãi,Quảng Ngãi,vi:Quảng Ngãi (thành phố),Q33994,"zh Present,zh-hans Present,No zh-cn label,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",,Quảng Ngãi,Quảng Ngãi,,廣義市,广义市,,廣義市,,,,Quảng Ngãi,Quảng Ngãi,Quảng Ngãi,クアンガイ,꽝응아이,Куангнгай,,
node,369487028,Đà Nẵng,Danang,en:Da Nang,Q25282,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Danang,Danang,,岘港市,,,,,,,Đà Nẵng,Đà Nẵng,Đà Nẵng,ダナン,다낭,Дананг,Da Nang,دا نانغ
node,369487017,Tam Kỳ,Tam Kỳ,en:Tam Kỳ,,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,No es label,fr Present,de Present,ja Present,ko Present,ru Present,No pt label,No ar label,",Q35661,Tam Kỳ,Tam Kỳ,,三歧市,三歧市,三歧市,三歧市,三歧市,三歧市,,,Tam Kỳ,Tam Kỳ,タムキー,땀끼,Тамки,,
