@type,@id,name,name:en,osm:wikipedia,osm:wikidata,wiki:logs,wiki:wikidata,wiki:label:en,wiki:wikipedia:en,wiki:Distance,wiki:label:zh,wiki:label:zh-hans,wiki:label:zh-cn,wiki:label:zh-hant,wiki:label:zh-hk,wiki:label:zh-tw,wiki:label:hi,wiki:label:es,wiki:label:fr,wiki:label:de,wiki:label:ja,wiki:label:ko,wiki:label:ru,wiki:label:pt,wiki:label:ar
node,258513226,Papeete,,fr:Papeete,,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q130800,Papeete,Papeete,,帕皮提,帕皮提,帕皮提,帕皮提,巴比提,巴比提,,Papeete,Papeete,Papeete,パペーテ,파페에테,Папеэте,Papeete,بابيتي
node,2278765663,Vai’ea,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,269261093,Vaitape,,en:Vaitape,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,No de label,No ja label,No ko label,No ru label,pt Present,No ar label,",Q3498189,Vaitape,Vaitape,,,,,,,,,,Vaitape,,,,,Vaitapé,
node,269268434,Fare,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,269553930,Tiputa,,en:Tiputa,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,fr Present,No de label,No ja label,No ko label,No ru label,No pt label,No ar label,",Q7809050,Tiputa,Tiputa,,,,,,,,,,Tiputa,,,,,,
node,214231955,Hanga Roa,,de:Hanga Roa,,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q233369,Hanga Roa,Hanga Roa,,安加罗阿,安加罗阿,安加罗阿,安加羅阿,安加羅阿,安加羅阿,,Hanga Roa,Hanga Roa,Hanga Roa,ハンガロア,항가로아,Ханга-Роа,Hanga Roa,هانجا روا
node,471040194,Vaitahu,,en:Vaitahu,,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,No es label,No fr label,No de label,No ja label,No ko label,No ru label,No pt label,No ar label,",Q7908884,Vaitahu,Vaitahu,,,,,,,,,,,,,,,,
node,198432092,Ushuaia,,es:Ushuaia,Q44254,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Ushuaia,Ushuaia,,乌斯怀亚,乌斯怀亚,乌斯怀亚,乌斯怀亚,,,,Ushuaia,Ushuaïa,Ushuaia,ウシュアイア,우수아이아,Ушуая,Ushuaia,أوشويا
node,181356942,Punta Arenas,Punta Arenas,,Q51599,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Punta Arenas,Punta Arenas,,蓬塔阿雷纳斯,,,,,,,Punta Arenas,Punta Arenas,Punta Arenas,プンタ・アレーナス,푼타아레나스,Пунта-Аренас,Punta Arenas,بونتا أريناس
node,3736621516,Puerto Natales,Puerto Natales,,Q1001339,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,No ar label,",,Puerto Natales,Puerto Natales,,納塔萊斯港,,,,,,,Puerto Natales,Puerto Natales,Puerto Natales,プエルト・ナターレス,,Пуэрто-Наталес,Puerto Natales,
node,198416899,Río Gallegos,Río Gallegos,"en:Río Gallegos, Santa Cruz",Q44242,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Río Gallegos,"Río Gallegos, Santa Cruz",,里奥加耶戈斯,,,,,,,Río Gallegos,Río Gallegos,Río Gallegos,リオ・ガジェゴス,리오가예고스,Рио-Гальегос,Río Gallegos,ريو غاليغوس، سانتا كروز
node,198447598,El Calafate,El Calafate,es:El Calafate,Q81561,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,No ru label,pt Present,ar Present,",,El Calafate,El Calafate,,埃尔卡拉法特,,,,,,,El Calafate,El Calafate,El Calafate,エル・カラファテ,엘칼라파테,,El Calafate,الكالافات
node,214215842,Puerto Aysén,,en:Puerto Aysén,Q1909281,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,No ar label,",,Puerto Aisén,Puerto Aysén,,艾森港,,,,,,,Puerto Aysén,Puerto Aisén,Puerto Aisén,プエルト・アイセン,,Пуэрто-Айсен,Puerto Aisén,
node,214210491,Coyhaique,Coyhaique,en:Coyhaique,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q3810,Coyhaique,Coyhaique,,科伊艾克,,,,,,,Coyhaique,Coyhaique,Coyhaique,コイハイケ,코이아이케,Койайке,Coihaique,كويهايكيو
node,198441453,Caleta Olivia,,es:Caleta Olivia,Q1026633,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,No ar label,",,Caleta Olivia,Caleta Olivia,,卡萊塔奧利維亞,,,,,,,Caleta Olivia,Caleta Olivia,Caleta Olivia,カルテナ・オリビア,,Калета-Оливия,Caleta Olivia,
node,224430003,Comodoro Rivadavia,Comodoro Rivadavia,es:Comodoro Rivadavia,Q221921,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Comodoro Rivadavia,Comodoro Rivadavia,,里瓦达维亚海军准将城,里瓦达维亚海军准将城,里瓦达维亚海军准将城,里瓦達維亞海軍准將城,里瓦達維亞海軍准將城,里瓦達維亞海軍准將城,,Comodoro Rivadavia,Comodoro Rivadavia,Comodoro Rivadavia,コモドーロ・リバダビア,코모도로리바다비아,Комодоро-Ривадавия,Comodoro Rivadavia,كومودورو ريفادافيا
node,2972356933,Castro,,"en:Castro, Chile",,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q3744,Castro,"Castro, Chile",,卡斯特罗市,,,,,,कास्त्रो,Castro,Castro,Castro,カストロ,카스트로,Кастро,Castro,كاسترو
node,84466877,Puerto Montt,Puerto Montt,en:Puerto Montt,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q36214,Puerto Montt,Puerto Montt,,蒙特港,,,,,,,Puerto Montt,Puerto Montt,Puerto Montt,プエルトモント,푸에르토몬트,Пуэрто-Монт,Puerto Montt,بويرتو مونت
node,198419670,San Carlos de Bariloche,San Carlos de Bariloche,es:San Carlos de Bariloche,Q47772,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,San Carlos de Bariloche,Bariloche,,圣卡洛斯-德巴里洛切,圣卡洛斯-德巴里洛切,圣卡洛斯-德巴里洛切,圣卡洛斯-德巴里洛切,,,,San Carlos de Bariloche,San Carlos de Bariloche,Bariloche,サン・カルロス・デ・バリローチェ,산카를로스데바릴로체,Сан-Карлос-де-Барилоче,Bariloche,باريلوتشي
node,214200129,Osorno,Osorno,"en:Osorno, Chile",,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q51059,Osorno,"Osorno, Chile",,奥索尔诺,,,,,,,Osorno,Osorno,Osorno,オソルノ,오소르노,Осорно,Osorno,
node,3956170554,Valdivia,Valdivia,en:Valdivia,,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q160687,Valdivia,Valdivia,,瓦尔迪维亚,瓦尔迪维亚,瓦尔迪维亚,瓦爾迪維亞,瓦爾迪維亞,瓦爾迪維亞,,Valdivia,Valdivia,Valdivia,バルディビア,발디비아,Вальдивия,Valdivia,
node,1515015048,Temuco,Temuco,en:Temuco,Q82128,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Temuco,Temuco,,特木科,,,,,,,Temuco,Temuco,Temuco,テムコ,테무코,Темуко,Temuco,تيموكو
node,214233604,Lebu,,,Q14488,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,No ar label,",,Lebu,"Lebu, Chile",,萊布,莱布,,,,,,Lebu,Lebu,Lebu,レブ (チリ),,Лебу,Lebu,
node,214195857,Angol,,,Q3608,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Angol,Angol,,安戈爾,安戈尔,,,,,,Angol,Angol,Angol,アンゴル,앙골,Анголь,Angol,أنخول
node,214202817,Los Ángeles,Los Ángeles,es:Los Ángeles (Chile),,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q16910,Villa Los Ángeles,"Los Ángeles, Chile",,洛桑赫萊斯 (比奧比奧省),洛桑赫莱斯 (比奥比奥省),,,,,,Los Ángeles,Los Ángeles,Los Ángeles,ロス・アンヘレス,로스앙헬레스,Лос-Анхелес,Los Ángeles (Chile),
node,198451606,General Roca,,es:General Roca (Río Negro),Q52506,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,ar Present,",,"General Roca, Río Negro","General Roca, Río Negro",,羅卡將軍鎮,,,,,,,General Roca,General Roca,General Roca,ヘネラル・ロカ (リオ・ネグロ州),,Хенераль-Рока,General Roca,جنرال روكا، ريو نيغرو
node,198446799,Cutral Co,,es:Cutral Có,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,No ru label,No pt label,No ar label,",Q970536,Cutral Có,Cutral Có,,庫特拉爾科,,,,,,,Cutral Có,Cutral Có,Cutral-Có,クトラル・コ,,,,
node,198406387,Neuquén,Neuquén,,Q44239,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Neuquén,Neuquén,,内乌肯,,,,,,न्यूक्वीन,Neuquén,Neuquén,Neuquén,ネウケン,네우켄,Неукен,Neuquén,نيوكوين
node,297981881,Trelew,,en:Trelew,Q1009276,"zh Present,zh-hans Present,No zh-cn label,zh-hant Present,zh-hk Present,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Trelew,Trelew,,特雷利烏,特雷利乌,,特雷利烏,特雷利烏,,,Trelew,Trelew,Trelew,トレレウ,트렐레우,Трелью,Trelew,تريليو
node,198416132,Rawson,Rawson,es:Rawson,Q44208,"zh Present,No zh-hans label,No zh-cn label,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Rawson,"Rawson, Chubut",,罗森,,,羅森,,,,Rawson,Rawson,Rawson,ラウソン,라우손,Росон,Rawson,روسون، تشوبوت
node,198413971,Puerto Madryn,,es:Puerto Madryn,Q748028,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,ar Present,",,Puerto Madryn,Puerto Madryn,,馬德林港,,,,,,,Puerto Madryn,Puerto Madryn,Puerto Madryn,プエルト・マドリン,,Пуэрто-Мадрин,Puerto Madryn,بويرتو مادرين
node,198432984,Viedma,,"en:Viedma, Río Negro",,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q44240,"Viedma, Río Negro","Viedma, Río Negro",,別德馬,,,,,,,Viedma,Viedma,Viedma,ビエドマ,비에드마,Вьедма,Viedma,فيديما
node,198439791,Bahía Blanca,Bahía Blanca,es:Bahía Blanca,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q54108,Bahía Blanca,Bahía Blanca,,布兰卡港,,,,,,,Bahía Blanca,Bahía Blanca,Bahía Blanca,バイアブランカ,바이아블랑카,Баия-Бланка,Bahía Blanca,باهيا بلانكا
node,198406286,Necochea,,,Q2622293,"No zh label,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,No de label,No ja label,No ko label,No ru label,pt Present,No ar label,",,Necochea,Necochea Partido,,,,,,,,,Necochea,Necochea,,,,,Necochea,
node,198428780,Tandil,,en:Tandil,Q1000336,"zh Present,zh-hans Present,No zh-cn label,zh-hant Present,zh-hk Present,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Tandil,Tandil,,坦迪爾,坦迪尔,,坦迪爾,坦迪爾,,,Tandil,Tandil,Tandil,タンディル,탄딜,Тандиль,Tandil,تانديل
node,198404045,Miramar,,"en:Miramar, Buenos Aires Province",,No wikidata,,,,,,,,,,,,,,,,,,,
node,198402188,Mar del Plata,Mar del Plata,en:Mar del Plata,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q52607,Mar del Plata,Mar del Plata,,马德普拉塔,,,,,,,Mar del Plata,Mar del Plata,Mar del Plata,マル・デル・プラタ,마르델플라타,Мар-дель-Плата,Mar del Plata,ماريه ديل بلاتا
node,214215898,Coronel,,"en:Coronel, Chile",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q3873,Coronel,"Coronel, Chile",,科羅內爾,科罗内尔,,,,,,Coronel,Coronel,Coronel,コロネル,코로넬,Коронель,Coronel,كورونل
node,330756068,Concepción,,es:Concepción (Chile),,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q1880,Concepción,"Concepción, Chile",,康塞普西翁,,,,,,कॉन्सेप्सिओन,Concepción,Concepción,Concepción,コンセプシオン,콘셉시온,Консепсьон,Concepción,كونسبسيون
node,1888417070,Talcahuano,,es:Talcahuano,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q41997,Talcahuano,Talcahuano,,塔爾卡瓦諾,塔尔卡瓦诺,,,,,,Talcahuano,Talcahuano,Talcahuano,タルカワノ,탈카우아노,Талькауано,Talcahuano,تالكاهوانو
node,214206410,Cauquenes,,,Q3749,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Cauquenes,Cauquenes,,考克內斯,考克内斯,,,,,,Cauquenes,Cauquenes,Cauquenes,カウケネス,카우케네스,Каукенес,Cauquenes,كايكيونيس
node,214189449,Chillán,,es:Chillán,Q3774,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Chillán,Chillán,,奇廉,,,,,,,Chillán,Chillán,Chillán,チヤン,치얀,Чильян,Chillán,شيلان
node,214211178,Linares,,"en:Linares, Chile",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q14494,Linares,"Linares, Chile",,利納雷斯,利纳雷斯,,,,,,Linares,Linares,Linares,リナレス,리나레스,Линарес,Linares,
node,656582484,Constitución,,es:Constitución (Chile),,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q3862,Constitución,"Constitución, Chile",,孔斯蒂圖西翁,孔斯蒂图西翁,,,,,,Constitución,Constitución,Constitución,コンスティトゥシオン,콘스티투시온,Конститусьон,Constitución,كونستيتسيون
node,50028181,Talca,Talca,en:Talca,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q4469,Talca,Talca,,塔爾卡,塔尔卡,,,,,,Talca,Talca,Talca,タルカ,탈카,Талька,Talca,تالكا
node,214180445,Curicó,,en:Curicó,Q13030,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Curicó,Curicó,,庫里科,库里科,,,,,,Curicó,Curicó,Curicó,クリコ,쿠리코,Курико,Curicó,كوريكو
node,214204398,San Fernando,,"en:San Fernando, Chile",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q187807,San Fernando,"San Fernando, Chile",,聖費爾南多,圣费尔南多,,,,,,San Fernando,San Fernando (Chili),San Fernando,サンフェルナンド,산페르난도,Сан-Фернандо,San Fernando,
node,4611100645,Rancagua,,es:Rancagua,Q4582,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Rancagua,Rancagua,,兰卡瓜,,,,,,,Rancagua,Rancagua,Rancagua,ランカグア,랑카과,Ранкагуа,Rancagua,رانكاغوا
node,198422869,San Rafael,,es:San Rafael (Mendoza),Q23044,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,No ko label,ru Present,pt Present,ar Present,",,San Rafael,"San Rafael, Mendoza",,聖拉斐爾,聖拉斐爾,聖拉斐爾,聖拉斐爾,,,,San Rafael,San Rafael,San Rafael,サン・ラファエル (メンドーサ州),,Сан-Рафаэль,San Rafael,سان رافائيل، مندوزا
node,2430625428,San Antonio,,es:San Antonio (Chile),Q56135,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",,San Antonio,"San Antonio, Chile",,聖安東尼奧,圣安东尼奥,,,,,,San Antonio,San Antonio,San Antonio,サンアントニオ (チリ),산안토니오 (칠레),Сан-Антонио,San Antonio,
node,214203676,Melipilla,,en:Melipilla,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q51032,Melipilla,Melipilla,,梅利皮亞,梅利皮亚,,,,,,Melipilla,Melipilla,Melipilla,メリピジャ,멜리피야,Мелипилья,Melipilla,
node,4610557100,Nos,,,,No wikidata / wikipedia,,,,,,,,,,,,,,,,,,,
node,157458639,San Bernardo,,"en:San Bernardo, Chile",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q56136,San Bernardo,"San Bernardo, Chile",,聖貝爾納多,圣贝尔纳多,,,,,,San Bernardo,San Bernardo,San Bernardo,サンベルナルド,산베르나르도,Сан-Бернардо,San Bernardo,
node,214217235,Puente Alto,,en:Puente Alto,,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q51594,Puente Alto,Puente Alto,,上普恩特,,,,,,,Puente Alto,Puente Alto,Puente Alto,プエンテアルト,푸엔테알토,Пуэнте-Альто,Puente Alto,
node,50016356,Santiago,,es:Santiago de Chile,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,zh-hk Present,zh-tw Present,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q2887,Santiago,Santiago,,圣地亚哥－德智利,圣地亚哥－德智利,,,聖地亞哥,聖地亞哥,सेण्टियागो,Santiago de Chile,Santiago,Santiago de Chile,サンティアゴ,산티아고,Сантьяго,Santiago (Chile),سانتياغو
node,214209024,Colina,,"en:Colina, Chile",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,No ja label,ko Present,ru Present,pt Present,ar Present,",Q3841,Colina,"Colina, Chile",,科利納,科利纳,,,,,,Colina,Colina,Colina,,콜리나,Колина,Colina,كولينا
node,3298545361,Valparaíso,,es:Valparaíso,Q33986,"zh Present,zh-hans Present,No zh-cn label,zh-hant Present,No zh-hk label,No zh-tw label,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Valparaíso,Valparaíso,,瓦尔帕莱索,瓦尔帕莱索,,瓦爾帕萊索,,,वालपाराईसो,Valparaíso,Valparaíso,Valparaíso,バルパライソ,발파라이소,Вальпараисо,Valparaíso,فالبارايسو
node,50026147,Viña del Mar,,en:Viña del Mar,Q184345,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Viña del Mar,Viña del Mar,,比尼亚德尔马,比尼亚德尔马,比尼亚德尔马,比尼亞德爾馬,比尼亞德爾馬,比尼亞德爾馬,,Viña del Mar,Viña del Mar,Viña del Mar,ビニャ・デル・マール,비냐델마르,Винья-дель-Мар,Viña del Mar,فينا ديل مار
node,214217708,Quilpué,,en:Quilpué,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q56110,Quilpué,Quilpué,,基爾普埃,基尔普埃,,,,,,Quilpué,Quilpué,Quilpué,キルプエ,킬푸에,Кильпуэ,Quilpué,
node,214215141,Villa Alemana,,en:Villa Alemana,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q174744,Villa Alemana,Villa Alemana,,阿萊馬納鎮,阿莱马纳镇,,,,,,Villa Alemana,villa Alemana,Villa Alemana,ビジャ・アレマーナ,비야알레마나,Вилья-Алемана,Villa Alemana,
node,214203217,Quillota,,en:Quillota,,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q56108,Quillota,Quillota,,基約塔,基约塔,,,,,,Quillota,Quillota,Quillota,キジョータ,키요타,Кильота,Quillota,
node,214190118,San Felipe,,"en:San Felipe, Chile",,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q187802,San Felipe,"San Felipe, Chile",,聖費利佩,圣费利佩,,,,,,San Felipe,San Felipe,San Felipe,サン・フェリーペ (チリ),산펠리페,Сан-Фелипе,San Felipe,سان فيليبي
node,214195569,Los Andes,,"en:Los Andes, Chile",,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",Q16903,Los Andes,"Los Andes, Chile",,洛斯安第斯 (智利),,,,,,,Los Andes,Los Andes,Los Andes,ロス・アンデス (チリ),로스안데스,Лос-Андес,Los Andes,
node,214226485,Ovalle,,en:Ovalle,Q51060,"zh Present,zh-hans Present,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,No ar label,",,Ovalle,Ovalle,,奧瓦列,奥瓦列,,,,,,Ovalle,Ovalle,Ovalle,オバエ,오바예,Овалье,Ovalle,
node,198403560,Mendoza,Mendoza,"en:Mendoza, Argentina",Q44237,"zh Present,zh-hans Present,zh-cn Present,zh-hant Present,zh-hk Present,zh-tw Present,hi Present,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Mendoza,"Mendoza, Argentina",,门多萨,门多萨,门多萨,门多萨,门多萨,门多萨,मेन्दोज़ा,Mendoza,Mendoza,Mendoza,メンドーサ,멘도사,Мендоса,Mendoza (Argentina),ميندوزا
node,198421467,San Juan,San Juan,"en:San Juan, Argentina",Q44241,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,San Juan,"San Juan, Argentina",,圣胡安,,,,,,,San Juan,San Juan,San Juan,サンフアン,산후안,Сан-Хуан,San Juan,سان خوان، الأرجنتين
node,50022255,Coquimbo,,en:Coquimbo,Q3871,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",,Coquimbo,Coquimbo,,科金博,,,,,,,Coquimbo,Coquimbo,Coquimbo,コキンボ,코킴보,Кокимбо,Coquimbo,كوكويمبو
node,50020503,La Serena,La Serena,"en:La Serena, Chile",,"zh Present,No zh-hans label,No zh-cn label,No zh-hant label,No zh-hk label,No zh-tw label,No hi label,es Present,fr Present,de Present,ja Present,ko Present,ru Present,pt Present,ar Present,",Q14467,La Serena,"La Serena, Chile",,拉塞雷纳,,,,,,,La Serena,La Serena,La Serena,ラ・セレナ,라세레나,Ла-Серена,La Serena,لا سيرينا
